Name,ID_SRC,ID_hard,RA_1,DEC_1,RA_CORR,DEC_CORR,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,source_id,ra_2,dec_2,separation_2,matches,GroupID,GroupSize,Separation
eFEDS J084111.8+002812,992,-99,130.2994945794181,0.4702634202483567,130.2993970435901,0.4702333250666508,1.0841114E-13,1.0459905E-14,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,271.5987405968803
eFEDS J084129.0+002645,5591,-99,130.37094237182276,0.44604159898794005,130.37084338431686,0.4460120824386309,8.288504E-14,1.192956E-14,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,0.02240953243886808
eFEDS J084142.9+002841,8433,-99,130.42926041395776,0.4782138297281783,130.4291633546172,0.47818354462002366,7.9800404E-14,1.3306792E-14,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,239.75229080097932
eFEDS J084120.4+002339,15160,-99,130.3354484656275,0.39426233061324656,130.33534637482464,0.39423405101312636,1.20554625E-14,3.7801136E-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,226.00936660607908
eFEDS J084115.3+002635,17357,-99,130.31387775761777,0.4431912189639365,130.31377859928054,0.44316177050703903,9.601199E-15,4.038286E-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,205.7055356729647
eFEDS J084132.6+002856,17362,-99,130.3860495206638,0.48249529240339084,130.38595271792144,0.4824649050158501,1.2350551E-14,3.9427092E-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,142.04714011366937
eFEDS J084109.5+002638,19655,-99,130.28986014248005,0.44404094428976204,130.28976103506926,0.44401147553387066,1.041211E-14,,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,291.9988971287414
eFEDS J084117.5+002912,23009,-99,130.32312782982785,0.48680172476777567,130.32303128517995,0.48677123450435067,9.020072E-15,3.6601556E-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,226.19202005540893
eFEDS J084121.3+002741,26477,-99,130.3391201773766,0.46163258006754654,130.33902212428038,0.46160269106702273,8.389277E-15,3.3959594E-15,eFEDS J084129.0+002645,5591,130.370849609375,0.44601207971572876,3075330483836481408,130.36973571777344,0.4479449391365051,8.007408142089844,2,7,9,127.58393990217282
eFEDS J085246.7+052549,2303,-99,133.19465124882834,5.430521885608166,133.19485195706412,5.430373295363121,9.7479825E-14,1.3423698E-14,eFEDS J085256.8+052741,6642,133.23695373535156,5.461465358734131,582047375180293120,133.1947479248047,5.429841041564941,189.33450317382812,4,13,5,187.86724529213402
